seed,tau,g,base_acc,ph_true,amb_true,beta,loss_gain,d_acc
0,0.6,4.1737823486328125,0.63225,0.37872120927167857,0.20615372910007526,0.775,0.8506101987521477,0.14024999999999999
0,0.7037651408802379,3.3902435302734375,0.643,0.32449769312103593,0.24093674981794141,0.675,0.5959114677433539,0.08950000000000002
0,0.8075302817604758,2.8009185791015625,0.66125,0.25401611885456105,0.26460959328685524,0.675,0.42699204872315466,0.07974999999999999
0,0.9112954226407137,2.3089447021484375,0.65675,0.2088292552756094,0.2945562874125048,0.7000000000000001,0.3185868997451087,0.07300000000000006
0,1.0150605635209518,1.9216156005859375,0.66025,0.16652676942176356,0.31866302376755257,0.625,0.20211647527169874,0.051000000000000045
0,1.1188257044011896,1.5514068603515625,0.64425,0.12352383112486436,0.3562554583298274,0.375,0.1330001976362017,0.02100000000000002
0,1.2225908452814276,1.2437896728515625,0.6555,0.09399350927957124,0.371884893569294,0.35000000000000003,0.07278119961313709,0.014000000000000012
0,1.3263559861616656,1.0452728271484375,0.65075,0.07475204328434405,0.4006329883456915,0.35000000000000003,0.05667404193285548,0.010249999999999981
0,1.4301211270419034,0.8229217529296875,0.64425,0.05081374503920734,0.4225505727010762,0.45,0.025699887601492773,0.01100000000000001
0,1.5338862679221412,0.6364593505859375,0.652,0.0319524439052395,0.43451972073054673,0.225,0.009838486699023373,0.004249999999999976
0,1.6376514088023795,0.3994598388671875,0.64925,0.013253901669989151,0.45645688987626687,0.07500000000000001,0.0017131832044182448,-0.0007500000000000284
0,1.7414165496826173,0.0318756103515625,0.63975,8.701819560402221e-05,0.47610260338594024,0.0,0.0,0.0
1,0.6,4.2057342529296875,0.6505,0.3736926417071707,0.1996057551498795,0.75,0.885076996595506,0.10899999999999999
1,0.7041888497092507,3.4394683837890625,0.6385,0.3304387606915742,0.2385016008752843,0.75,0.6593309020326975,0.10200000000000009
1,0.8083776994185015,2.8069305419921875,0.64625,0.2745634222769958,0.2666706699923994,0.75,0.4892657611173805,0.09650000000000003
1,0.9125665491277521,2.3178253173828125,0.64325,0.2187348395158994,0.293311272152413,0.625,0.35307924218005265,0.05674999999999997
1,1.0167553988370028,1.9872589111328125,0.6475,0.19089012786665954,0.32224942153923647,0.55,0.26952613052278773,0.03950000000000009
1,1.1209442485462535,1.6444549560546875,0.63875,0.15696842990934065,0.35351100970782856,0.65,0.21989652213202265,0.04349999999999998
1,1.2251330982555042,1.3055572509765625,0.652,0.111172847964336,0.3676870194867603,0.6000000000000001,0.11763082188553899,0.03125
1,1.3293219479647551,1.1042938232421875,0.6435,0.09106317173239506,0.3976811883982708,0.325,0.07954716822362326,0.014500000000000068
1,1.4335107976740058,0.8405303955078125,0.64275,0.058501954356870244,0.42475446443302584,0.325,0.04468656910688461,0.01100000000000001
1,1.5376996473832565,0.6369781494140625,0.6475,0.03636610609399994,0.43921605364623145,0.30000000000000004,0.013230624179467354,0.006000000000000005
1,1.6418884970925074,0.4161529541015625,0.63525,0.016382317222691668,0.4565747234112298,0.1,0.0039068076571253186,0.000500000000000056
1,1.746077346801758,0.1314544677734375,0.639,0.0018117235913340435,0.47392275747195606,0.025,4.789859340988634e-06,0.0004999999999999449
2,0.6,7.0243988037109375,0.645,0.40678918517794155,0.19862494754633395,0.7250000000000001,1.3148167010042195,0.09524999999999995
2,0.7023389989679509,5.5759429931640625,0.653,0.34244773303365444,0.22809682015432106,0.75,0.9410935991412216,0.10524999999999995
